,metric,value,model
478,roc_auc,0.5618060695780902,bert
479,roc_auc,0.5299777942264988,bert
480,accuracy,0.24257425742574257,bert
481,accuracy,0.297029702970297,bert
482,accuracy,0.21890547263681592,bert
483,accuracy,0.26,bert
484,accuracy,0.2676767676767677,bert
485,balanced_accuracy,0.24328012132890184,bert
486,balanced_accuracy,0.2918075332709479,bert
487,balanced_accuracy,0.21584184647145505,bert
488,balanced_accuracy,0.25861051723218487,bert
489,balanced_accuracy,0.26611399694168303,bert
490,f1_weighted,0.23853617504607602,bert
491,f1_weighted,0.29116236294035813,bert
492,f1_weighted,0.21853626962904849,bert
493,f1_weighted,0.2614270286847806,bert
494,f1_weighted,0.26778445130782236,bert
495,accuracy,0.22772277227722773,bert
496,accuracy,0.2835820895522388,bert
497,accuracy,0.325,bert
498,accuracy,0.3,bert
499,accuracy,0.255,bert
500,balanced_accuracy,0.22587970932704177,bert
501,balanced_accuracy,0.27754146864953977,bert
502,balanced_accuracy,0.31691934453562365,bert
503,balanced_accuracy,0.292712724108073,bert
504,balanced_accuracy,0.2536807969947505,bert
505,f1_weighted,0.23028722102979532,bert
506,f1_weighted,0.28365490175364777,bert
507,f1_weighted,0.3192301990698308,bert
508,f1_weighted,0.2980635299294376,bert
509,f1_weighted,0.25282014928186064,bert
510,accuracy,0.2315270935960591,bert
511,accuracy,0.2736318407960199,bert
512,accuracy,0.21890547263681592,bert
513,accuracy,0.26,bert
514,accuracy,0.25757575757575757,bert
515,balanced_accuracy,0.23227016885553473,bert
516,balanced_accuracy,0.2732395247029394,bert
517,balanced_accuracy,0.21896497811131957,bert
518,balanced_accuracy,0.25969668542839275,bert
519,balanced_accuracy,0.2578947368421053,bert
520,f1_weighted,0.229638392351313,bert
521,f1_weighted,0.2727454438565549,bert
522,f1_weighted,0.21984448630956335,bert
523,f1_weighted,0.25998387108744,bert
524,f1_weighted,0.25848227060388657,bert
525,accuracy,0.23267326732673269,bert
526,accuracy,0.2736318407960199,bert
527,accuracy,0.20398009950248755,bert
528,accuracy,0.24378109452736318,bert
529,accuracy,0.24242424242424243,bert
530,balanced_accuracy,0.2332520325203252,bert
531,balanced_accuracy,0.2739712320200125,bert
532,balanced_accuracy,0.20518449030644154,bert
533,balanced_accuracy,0.24372107567229517,bert
534,balanced_accuracy,0.24289473684210527,bert
535,f1_weighted,0.23126927047560075,bert
536,f1_weighted,0.2733001621374016,bert
537,f1_weighted,0.20500027102036647,bert
538,f1_weighted,0.2436095380844957,bert
539,f1_weighted,0.24199193311716655,bert
540,accuracy,0.2315270935960591,bert
541,accuracy,0.29,bert
542,accuracy,0.325,bert
543,accuracy,0.325,bert
544,accuracy,0.25,bert
545,balanced_accuracy,0.23134146341463416,bert
546,balanced_accuracy,0.29,bert
547,balanced_accuracy,0.325,bert
548,balanced_accuracy,0.325,bert
549,balanced_accuracy,0.25,bert
550,f1_weighted,0.23096106652287746,bert
551,f1_weighted,0.28659810312292594,bert
552,f1_weighted,0.32228947697118526,bert
553,f1_weighted,0.322707718558907,bert
554,f1_weighted,0.2503505428559383,bert
555,accuracy,0.22660098522167488,bert
556,accuracy,0.2885572139303483,bert
557,accuracy,0.208955223880597,bert
558,accuracy,0.245,bert
559,accuracy,0.24242424242424243,bert
560,balanced_accuracy,0.22764227642276422,bert
561,balanced_accuracy,0.28860537836147593,bert
562,balanced_accuracy,0.21006253908692935,bert
563,balanced_accuracy,0.24481863664790496,bert
564,balanced_accuracy,0.24289473684210527,bert
565,f1_weighted,0.22513131097375563,bert
566,f1_weighted,0.2885427456293707,bert
567,f1_weighted,0.21019317038904411,bert
568,f1_weighted,0.2447924920511232,bert
569,f1_weighted,0.24200820567523107,bert
570,accuracy,0.2315270935960591,bert
571,accuracy,0.285,bert
572,accuracy,0.25,bert
573,accuracy,0.255,bert
574,accuracy,0.19,bert
575,balanced_accuracy,0.23085365853658538,bert
576,balanced_accuracy,0.28500000000000003,bert
577,balanced_accuracy,0.25,bert
578,balanced_accuracy,0.255,bert
579,balanced_accuracy,0.19,bert
580,f1_weighted,0.23347885553499964,bert
581,f1_weighted,0.28449078937739464,bert
582,f1_weighted,0.2508446469083538,bert
