,accuracy,balanced_accuracy,f1,f1_weighted,precision,recall,relation,roc_auc,y_type,model
141,0.2336777579010137,0.2337846153846154,,0.22822020743454835,,,Message-Topic,,q,glove
142,0.23335241502683363,0.2332307692307692,,0.2280984477095484,,,Message-Topic,,p,glove
143,0.23186356589147286,0.23175384615384614,,0.2271728712711282,,,Message-Topic,,causal_power,glove
144,0.9790792540792541,0.5,0.0,,0.0,0.0,Product-Producer,0.5637048294495102,causal_dependency,glove
145,0.22579787234042553,0.21571624123003436,,0.20912257182359192,,,Product-Producer,,P(E|C),glove
146,0.21322221355595605,0.20987009850858573,,0.20126836413801402,,,Product-Producer,,P(E),glove
147,0.22156386595434677,0.2214778325123153,,0.21909458930457312,,,Product-Producer,,probabilistic_causality_diff,glove
148,0.22156386595434677,0.2214778325123153,,0.21909458930457312,,,Product-Producer,,delta_P,glove
149,0.20515510351717245,0.20532019704433496,,0.20145929853453254,,,Product-Producer,,P(E|no C),glove
150,0.22296518657063435,0.22295566502463054,,0.22042183964411294,,,Product-Producer,,q,glove
151,0.21903142995906472,0.2191625615763547,,0.21344553007164876,,,Product-Producer,,p,glove
152,0.20669818687060065,0.20679802955665022,,0.20101818640567276,,,Product-Producer,,causal_power,glove
153,0.9832553596638103,0.5,0.0,,0.0,0.0,Entity-Origin,0.5907590341100979,causal_dependency,glove
154,0.2108974358974359,0.20815226795204547,,0.20183092766177121,,,Entity-Origin,,P(E|C),glove
155,0.21242355217703227,0.20981937337782722,,0.20731660564323162,,,Entity-Origin,,P(E),glove
156,0.20810288128039467,0.20763546798029556,,0.19787784713763515,,,Entity-Origin,,probabilistic_causality_diff,glove
157,0.20810288128039467,0.20763546798029556,,0.19787784713763515,,,Entity-Origin,,delta_P,glove
158,0.22360654019494813,0.2236453201970443,,0.2165030237646271,,,Entity-Origin,,P(E|no C),glove
159,0.2066557116727102,0.20615763546798033,,0.1962288472882831,,,Entity-Origin,,q,glove
160,0.196940572267058,0.19635467980295568,,0.19359223248104312,,,Entity-Origin,,p,glove
161,0.19685043496488838,0.19689655172413795,,0.193580681512204,,,Entity-Origin,,causal_power,glove
