,accuracy,balanced_accuracy,f1_weighted,relation,y_type,model
392,0.3364121044266449,0.3361754187841144,0.32773565840124613,Content-Container,causal_stength_0.9,glove
393,0.31471861471861473,0.31471861471861473,0.3015968249639292,Content-Container,causal_stength_1.0,glove
394,0.38484848484848483,0.38484848484848483,0.3678759598310147,Content-Container,avg_freq_uni,glove
395,0.38883116883116886,0.38883116883116886,0.38011429550568776,Content-Container,avg_freq_bi,glove
396,0.26253260522809585,0.2588044973834448,0.24261528423513917,Component-Whole,P(E|C),conceptnet
397,0.294323803022176,0.29533428165007114,0.2885169204818968,Component-Whole,P(E),conceptnet
398,0.2666621751511395,0.26654338549075396,0.263543539775898,Component-Whole,probabilistic_causality_diff,conceptnet
399,0.2666621751511395,0.26654338549075396,0.263543539775898,Component-Whole,delta_P,conceptnet
400,0.3101781917741171,0.3102133712660028,0.2965746299779763,Component-Whole,P(E|no C),conceptnet
401,0.26138270698542343,0.2613655761024182,0.25984490464307375,Component-Whole,q,conceptnet
402,0.2849040211688768,0.28477951635846377,0.27266941123712646,Component-Whole,p,conceptnet
403,0.2762296951770636,0.2761877667140825,0.26586464777686664,Component-Whole,causal_power,conceptnet
404,0.27945915355083434,0.27914651493598863,0.25865073490179835,Component-Whole,PMI,conceptnet
405,0.27945915355083434,0.27914651493598863,0.25865073490179835,Component-Whole,PPMI,conceptnet
406,0.27945915355083434,0.27914651493598863,0.25865073490179835,Component-Whole,CPMI_-2,conceptnet
407,0.29538506248183666,0.295049786628734,0.27673476859485274,Component-Whole,NPMI,conceptnet
408,0.27945915355083434,0.27914651493598863,0.25865073490179835,Component-Whole,NNEGPMI,conceptnet
409,0.2774737401262918,0.27720246562351825,0.2734546727658598,Component-Whole,P(C|E),conceptnet
410,0.2839535630707108,0.28375533428165006,0.2750605882996206,Component-Whole,causal_stength_nec,conceptnet
411,0.2783722602058765,0.27817923186344246,0.263270550179109,Component-Whole,causal_stength_suf,conceptnet
412,0.305968889092828,0.30574679943100996,0.29403953256329496,Component-Whole,causal_stength_0.5,conceptnet
413,0.29123143517031463,0.2910668563300142,0.279674525974664,Component-Whole,causal_stength_0.7,conceptnet
414,0.26761868829780544,0.2669416785206259,0.25560340080028254,Component-Whole,causal_stength_0.9,conceptnet
415,0.2839535630707108,0.28375533428165006,0.2750605882996206,Component-Whole,causal_stength_1.0,conceptnet
416,0.43786169871059516,0.43732574679943104,0.36623587486773346,Component-Whole,avg_freq_uni,conceptnet
417,0.42802979550008413,0.4277667140825036,0.3783679324425432,Component-Whole,avg_freq_bi,conceptnet
418,0.27569797173892147,0.2761904761904762,0.2684658663658778,Instrument-Agency,P(E|C),conceptnet
419,0.32161991733153894,0.3214285714285715,0.31984479169022484,Instrument-Agency,P(E),conceptnet
420,0.28136367482902136,0.2814486215538847,0.26159159452084074,Instrument-Agency,probabilistic_causality_diff,conceptnet
421,0.28140676375329843,0.2802105263157895,0.2551129382467241,Instrument-Agency,delta_P,conceptnet
